0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:23:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:25:46 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:25:46 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:25:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:26:52 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:26:52 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:26:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:11 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:11 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:11 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:12 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:12 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:12 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:56 +0900] "GET /Css/html/boostcourse/project-A1/portfolio.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [17/Jun/2019:21:28:56 +0900] "GET /Css/css/boostcourse/project-A1/portfolio.css HTTP/1.1" 200 354
